dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
D073,1.015675240815125,1.0465792182673044,1.1396011396011396,4,146.6432837444984,84.19313235531195,10445.0,0,0.0
D074,0.05447347853181019,0.06733295355623051,0.8547008547008548,3,5.741770323462822,82.63202725724021,29103.0,0,0.0
D075,0.2030597237986878,0.2145528464107461,0.8547008547008548,3,19.93240528615594,78.20713338546803,138009.0,0,0.0
D076,0.3415785437427352,0.346418998500769,1.1396011396011396,4,34.022997505579674,70.02316082373031,172633.0,0,0.0
D077,38.98974435560041,41.33049818222514,1.4245014245014245,5,2558.5265096380335,98.56324726213202,9810.0,0,0.0
D078,0.21014081791436684,0.21699671668487333,1.4245014245014245,5,20.81518606603613,66.9973232029634,198229.0,0,0.0
D079,0.323658818277993,0.3636135598447573,1.1396011396011396,4,37.649421950138816,78.80328509972624,14105.0,0,0.0
D080,0.052631121635010325,0.06652907475955747,1.1396011396011396,4,5.35943870494494,74.40969001067722,212555.0,0,0.0
D081,0.23754280369998526,0.24714880159433075,0.5698005698005698,2,23.416079621417463,85.2625568060149,107505.0,0,0.0
D082,0.0432514266621162,0.055989016266295176,0.5698005698005698,2,4.344062504599565,86.96773937463408,87640.0,0,0.0
D083,0.507967073697621,0.5116728219138611,0.8547008547008548,3,51.21481557126029,84.84898808733006,76639.0,0,0.0
D084,0.40635021710053104,0.4342333415274435,1.4245014245014245,5,46.405025377415534,79.07643878043208,31149.0,0,0.0
D085,0.05111877148693204,0.06187648053511777,0.5698005698005698,2,5.132335354750926,87.04436952734349,38471.0,0,0.0
D086,8.098904073223379,8.854617676903628,0.5698005698005698,2,548.5281497184332,97.1973817645432,10543.0,0,0.0
D087,0.26262900981396403,0.28587194051311476,1.1396011396011396,4,25.43718005476512,70.38742959414644,26743.0,0,0.0
D088,0.2695810844418408,0.27567512193807625,0.8547008547008548,3,26.711031280510266,78.58838039354923,42055.0,0,0.0
D089,0.06147414449270868,0.07503791455039248,1.1396011396011396,4,5.984242776450702,74.06247653375385,98629.0,0,0.0
D090,6.734031562795864,6.862692750988242,1.4245014245014245,5,1812.1532825475033,95.45321076050867,42260.0,0,0.0
D091,0.4053433332389428,0.41106578074609357,0.8547008547008548,3,40.324135744074155,75.08957553287368,102480.0,0,0.0
D092,0.39225448932017215,0.44958774578504757,0.5698005698005698,2,48.375247672387175,89.48354078881516,55427.0,0,0.0
